County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Schoharie,New York,2,6.6,0.78,0.1,0.045,0.066,0.002,0.035,154845,8.8
Schuyler,New York,8,6,0.958,0.015,0.008,0.03,0.001,0.004,31667,10
Seneca,New York,3,6,0.967,0.011,0.005,0.017,0.003,0.001,18336,10.5
St. Lawrence,New York,13,6.1,0.916,0.048,0.007,0.032,0.004,0.004,35036,15.5
Steuben,New York,7,5.8,0.95,0.015,0.015,0.016,0.001,0.003,98151,8.4
Suffolk,New York,59,5.9,0.809,0.076,0.038,0.182,0.002,0.049,1498130,11.6
Sullivan,New York,10,5.7,0.818,0.086,0.016,0.15,0.002,0.038,75818,12.3
Tioga,New York,5,5.7,0.969,0.007,0.007,0.017,0,0.002,49649,10.3
Tompkins,New York,7,5.7,0.807,0.04,0.102,0.047,0.003,0.011,104268,12.9
Ulster,New York,20,6.1,0.863,0.059,0.019,0.096,0.002,0.019,180505,5.7
Warren,New York,12,6.9,0.961,0.012,0.009,0.022,0.003,0.003,64911,11.6
Washington,New York,6,7.2,0.94,0.033,0.005,0.025,0.003,0.006,62465,8.2
Wayne,New York,12,6.1,0.932,0.031,0.007,0.041,0.002,0.009,91874,11.2
Westchester,New York,29,5.9,0.661,0.144,0.057,0.236,0.004,0.103,969229,9.6
Wyoming,New York,4,7.6,0.916,0.055,0.003,0.032,0.004,0.009,41239,8.9
Yates,New York,5,6.2,0.967,0.008,0.009,0.021,0.001,0.004,25106,5.8
Altantic,New Jersey,0,6.1,0.713,0.171,0.081,0.194,0.007,0.028,266105,12
Bergen,New Jersey,0,9.3,0.729,0.074,0.17,0.21,0.001,0.027,930390,8.6
Burlington,New Jersey,4,7.1,0.729,0.183,0.054,0.085,0.003,0.031,445702,11.6
Camden,New Jersey,2,8.8,0.69,0.216,0.06,0.176,0.007,0.027,506738,15.7
Cape May,New Jersey,0,7.4,0.918,0.048,0.01,0.081,0.004,0.02,93086,11.9
Cumberland,New Jersey,0,8.7,0.72,0.219,0.014,0.318,0.016,0.033,151906,12
Essex,New Jersey,0,8.2,0.489,0.419,0.59,0.238,0.008,0.025,795404,13.3
Gloucester,New Jersey,0,7,0.83,0.112,0.031,0.067,0.003,0.024,291165,13.8
Hudson,New Jersey,0,8.1,0.647,0.148,0.164,0.427,0.011,0.029,670046,13.1
Hunterdon,New Jersey,2,7.9,0.91,0.027,0.044,0.07,0.002,0.017,124823,9.6
Mercer,New Jersey,2,7.5,0.633,0.215,0.119,0.185,0.006,0.027,367922,11.3
Middlesex,New Jersey,8,7.4,0.601,0.12,0.249,0.221,0.007,0.024,825920,12.2
Monmouth,New Jersey,0,7.1,0.848,0.075,0.056,0.111,0.003,0.019,621659,10.2
Morris,New Jersey,2,5.9,0.831,0.038,0.108,0.139,0.003,0.019,493379,13.9
Ocean,New Jersey,0,6.3,0.927,0.036,0.019,0.095,0.003,0.014,596415,14.3
Passaic,New Jersey,0,7.6,0.749,0.149,0.057,0.429,0.015,0.03,503637,12.6
Salem,New Jersey,0,7.9,0.811,0.148,0.011,0.098,0.006,0.024,62990,10.6
Somerset,New Jersey,1,7.6,0.681,0.105,0.188,0.152,0.004,0.022,329838,10.9
Sussex,New Jersey,2,7.1,0.933,0.027,0.02,0.092,0.003,0.017,141483,10.1
Union,New Jersey,2,9.1,0.674,0.238,0.057,0.328,0.008,0.023,554033,12.8
Warren,New Jersey,1,7.7,0.892,0.057,0.029,0.102,0.004,0.018,105862,11.8
Adams,North Dakota,1,4,0.937,0.009,0.028,0.016,0.007,0.018,2216,13.6
Barnes,North Dakota,1,5.3,0.942,0.018,0.009,0.022,0.011,0.019,10415,8.6
Benson,North Dakota,1,5.1,0.416,0.005,0.002,0.041,0.556,0.021,6832,13.5
Billings,North Dakota,0,2.9,0.94,0.004,0.041,0.026,0.006,0.008,928,4.5
Bottineau,North Dakota,2,5,0.929,0.008,0.006,0.022,0.033,0.024,6282,13.6
Bowman,North Dakota,2,4.1,0.959,0.003,0.002,0.055,0.025,0.011,3024,11.8
Burke,North Dakota,0,1.5,0.953,0.008,0.006,0.03,0.016,0.018,2115,10.6
Burleigh,North Dakota,3,4.9,0.904,0.024,0.009,0.028,0.043,0.02,95626,11.8
Cass,North Dakota,8,5.1,0.867,0.064,0.034,0.028,0.015,0.022,181923,11.3
Cavalier,North Dakota,2,5.3,0.958,0.004,0.004,0.014,0.019,0.015,3762,9.4
Dickey,North Dakota,4,5.3,0.957,0.01,0.006,0.034,0.009,0.018,4872,8
Divide,North Dakota,2,4.3,0.934,0.019,0.019,0.029,0.008,0.02,2264,12.7
Dunn,North Dakota,1,4.4,0.842,0.017,0.014,0.056,0.098,0.029,4424,14.4
Eddy,North Dakota,1,4.8,0.926,0.005,0.003,0.043,0.046,0.02,2287,12
Emmons,North Dakota,0,4.5,0.964,0.003,0.009,0.011,0.012,0.013,3241,11.1
Foster,North Dakota,0,4.8,0.966,0.004,0.006,0.023,0.015,0.009,3210,16.9
Golden Valley,North Dakota,3,3.7,0.961,0.007,0.002,0.034,0.016,0.014,1761,9.9
