County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Gloucester,New Jersey,0,7,83,11.2,3.1,6.7,0.3,2.4,291165,13.8
Hudson,New Jersey,0,8.1,64.7,14.8,16.4,42.7,1.1,2.9,670046,13.1
Hunterdon,New Jersey,2,7.9,91,2.7,4.4,7,0.2,1.7,124823,9.6
Mercer,New Jersey,2,7.5,63.3,21.5,11.9,18.5,0.6,2.7,367922,11.3
Middlesex,New Jersey,8,7.4,60.1,12,24.9,22.1,0.7,2.4,825920,12.2
Monmouth,New Jersey,0,7.1,84.8,7.5,5.6,11.1,0.3,1.9,621659,10.2
Morris,New Jersey,2,5.9,83.1,3.8,10.8,13.9,0.3,1.9,493379,13.9
Ocean,New Jersey,0,6.3,92.7,3.6,1.9,9.5,0.3,1.4,596415,14.3
Passaic,New Jersey,0,7.6,74.9,14.9,5.7,42.9,1.5,3,503637,12.6
Salem,New Jersey,0,7.9,81.1,14.8,1.1,9.8,0.6,2.4,62990,10.6
Somerset,New Jersey,1,7.6,68.1,10.5,18.8,15.2,0.4,2.2,329838,10.9
Sussex,New Jersey,2,7.1,93.3,2.7,2,9.2,0.3,1.7,141483,10.1
Union,New Jersey,2,9.1,67.4,23.8,5.7,32.8,0.8,2.3,554033,12.8
Warren,New Jersey,1,7.7,89.2,5.7,2.9,10.2,0.4,1.8,105862,11.8
Adams,North Dakota,1,4,93.7,0.9,2.8,1.6,0.7,1.8,2216,13.6
Barnes,North Dakota,1,5.3,94.2,1.8,0.9,2.2,1.1,1.9,10415,8.6
Benson,North Dakota,1,5.1,41.6,0.5,0.2,4.1,55.6,2.1,6832,13.5
Billings,North Dakota,0,2.9,94,0.4,4.1,2.6,0.6,0.8,928,4.5
Bottineau,North Dakota,2,5,92.9,0.8,0.6,2.2,3.3,2.4,6282,13.6
Bowman,North Dakota,2,4.1,95.9,0.3,0.2,5.5,2.5,1.1,3024,11.8
Burke,North Dakota,0,1.5,95.3,0.8,0.6,3,1.6,1.8,2115,10.6
Burleigh,North Dakota,3,4.9,90.4,2.4,0.9,2.8,4.3,2,95626,11.8
Cass,North Dakota,8,5.1,86.7,6.4,3.4,2.8,1.5,2.2,181923,11.3
Cavalier,North Dakota,2,5.3,95.8,0.4,0.4,1.4,1.9,1.5,3762,9.4
Dickey,North Dakota,4,5.3,95.7,1,0.6,3.4,0.9,1.8,4872,8
Divide,North Dakota,2,4.3,93.4,1.9,1.9,2.9,0.8,2,2264,12.7
Dunn,North Dakota,1,4.4,84.2,1.7,1.4,5.6,9.8,2.9,4424,14.4
Eddy,North Dakota,1,4.8,92.6,0.5,0.3,4.3,4.6,2,2287,12
Emmons,North Dakota,0,4.5,96.4,0.3,0.9,1.1,1.2,1.3,3241,11.1
Foster,North Dakota,0,4.8,96.6,0.4,0.6,2.3,1.5,0.9,3210,16.9
Golden Valley,North Dakota,3,3.7,96.1,0.7,0.2,3.4,1.6,1.4,1761,9.9
Grand Forks,North Dakota,5,6.2,86.8,4.4,2.9,4.7,2.9,3,69451,12.6
Grant,North Dakota,0,4,95.6,0.1,0.3,1.5,2.1,2,2274,10.2
Griggs,North Dakota,2,5,98.3,0.4,0.2,1.3,0.7,0.4,2231,5.8
Hettinger,North Dakota,0,4,92.9,0.6,0.4,2.8,3.6,2.6,2499,10.4
Kidder,North Dakota,0,4.5,97.2,0.5,0.6,4.7,0.8,0.9,2480,5.5
LaMoure,North Dakota,1,5.2,98,0.4,0.1,1.7,0.6,0.9,4046,13.3
Logan,North Dakota,0,4.6,96.6,0.4,0.4,2.6,0.8,1.7,1850,14
McHenry,North Dakota,0,4.5,86.9,3.4,1.7,4.1,5.6,2.4,762062,10.6
McIntosh,North Dakota,2,4.7,96.6,0.8,1,2.6,0.8,0.9,2497,10.7
